Source_File,Area,Diameter
Results_4_5_2.csv,59.567,17.801499999999997
Results_4_5_2.csv,33.999,6.046
Results_4_5_2.csv,29.852,7.939
Results_4_5_2.csv,44.779,13.022
Results_4_5_2.csv,75.46,13.1425
Results_4_5_2.csv,31.234,11.5935
Results_4_5_2.csv,46.299,8.313
Results_4_5_2.csv,26.812,5.333
Results_4_5_2.csv,114.158,12.48
Results_4_5_2.csv,74.078,11.326
Results_4_5_2.csv,107.939,12.304
Results_4_5_2.csv,46.437,12.512
Results_4_5_2.csv,32.202,10.993
Results_4_5_2.csv,48.51,18.1745
Results_4_5_2.csv,32.202,13.962
Results_4_5_2.csv,88.037,15.647000000000002
Results_4_5_2.csv,38.283,8.780999999999999
Results_4_5_2.csv,68.135,13.451
Results_4_5_2.csv,53.762,12.588
Results_4_5_2.csv,47.266,12.5755
Results_4_5_2.csv,50.86,12.972
Results_4_5_2.csv,38.145,11.302
Results_4_5_2.csv,27.226,6.75
Results_4_5_2.csv,37.039,10.409
Results_4_5_2.csv,42.706,12.549
Results_4_5_2.csv,46.575,11.376
Results_4_5_2.csv,38.836,6.572
Results_4_5_2.csv,43.673,12.18
Results_4_5_2.csv,40.632,11.96
Results_4_5_2.csv,27.226,7.807
Results_4_5_2.csv,88.728,14.464
Results_4_5_2.csv,26.397,6.513
Results_4_5_2.csv,44.364,9.28
Results_4_5_2.csv,53.347,11.812
Results_4_5_2.csv,48.648,7.702
Results_4_5_2.csv,72.42,8.55
Results_4_5_2.csv,49.892,16.547
Results_4_5_2.csv,33.031,11.989999999999998
Results_4_5_2.csv,66.891,18.5225
Results_4_5_2.csv,40.218,12.3025
Results_4_5_2.csv,50.03,15.324000000000002
Results_4_5_2.csv,57.355,18.3595
Results_4_5_2.csv,46.022,13.81
Results_4_5_2.csv,28.609,7.123
Results_4_5_2.csv,69.241,13.755
Results_4_5_2.csv,36.763,10.897
Results_4_5_2.csv,81.127,15.8045
Results_4_5_2.csv,37.177,6.391
Results_4_5_2.csv,38.007,7.645999999999999
Results_4_5_2.csv,35.242,10.706
Results_4_5_2.csv,41.876,11.3965
Results_4_5_2.csv,32.34,5.205
Results_4_5_2.csv,27.918,4.833
